Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Oregon,2020,43,2020-10-24,763,708,,149,24,43,,45,12,11,13,141,39,28,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Oregon,2020,44,2020-10-31,781,706,,136,24,39,,30,,,18,152,53,33,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,45,2020-11-07,833,752,,171,28,38,,29,,,20,137,45,33,27,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,46,2020-11-14,836,773,,168,29,32,,34,15,,17,164,44,51,49,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oregon,2020,47,2020-11-21,832,772,,145,28,52,,32,16,,27,141,35,81,77,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oregon,2020,48,2020-11-28,876,829,,147,28,47,,36,,,29,155,48,119,100,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,49,2020-12-05,934,876,,166,28,51,10,36,12,,21,162,48,127,114,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Oregon,2020,50,2020-12-12,937,875,,176,25,40,,30,11,12,27,151,48,141,126,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Oregon,2020,51,2020-12-19,974,916,,180,30,58,,39,,,31,173,57,119,103,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,52,2020-12-26,875,822,,168,27,36,,29,,,31,152,47,113,101,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2020,53,2021-01-02,901,833,,163,32,36,,42,,,36,141,46,118,100,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2021,1,2021-01-09,877,816,,160,26,44,,34,17,,39,131,31,113,100,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oregon,2021,2,2021-01-16,884,831,,169,22,50,,30,12,,36,161,50,91,80,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Oregon,2021,3,2021-01-23,840,785,,174,25,42,,35,,,26,144,39,94,85,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2021,4,2021-01-30,825,757,,156,13,36,,31,,,31,134,56,81,73,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2021,5,2021-02-06,812,759,,157,25,43,,48,,,40,131,42,63,52,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2021,6,2021-02-13,760,707,,149,22,36,,32,17,14,35,125,46,43,37,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Oregon,2021,7,2021-02-20,743,708,,181,31,28,,27,,,29,151,41,34,29,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2021,8,2021-02-27,677,630,,138,18,37,,41,,,24,111,42,30,26,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2021,9,2021-03-06,570,540,,145,10,41,,29,,,20,110,31,25,23,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2021,10,2021-03-13,434,411,,86,,33,,21,,,24,80,33,15,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Oregon,2021,11,2021-03-20,299,288,0,73,,20,,14,,,18,45,18,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Pennsylvania,2020,1,2020-01-04,"2,784","2,572",50,562,65,74,82,135,56,56,67,663,150,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,2,2020-01-11,"2,845","2,627",50,578,78,76,62,152,59,59,64,711,143,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,3,2020-01-18,"2,859","2,636",61,580,76,83,71,140,57,41,60,655,164,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,4,2020-01-25,"2,793","2,560",40,581,83,71,70,127,62,66,55,653,146,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,5,2020-02-01,"2,802","2,572",51,595,79,78,70,134,52,61,43,618,145,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,6,2020-02-08,"2,779","2,545",46,514,78,75,63,144,63,66,50,690,119,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,7,2020-02-15,"2,805","2,597",48,568,76,99,70,149,59,65,41,674,135,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,8,2020-02-22,"2,693","2,511",39,566,77,68,53,144,43,60,56,685,128,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,9,2020-02-29,"2,765","2,535",51,565,78,86,81,128,42,64,61,635,145,,0,,,,,,,,,,,,,,Suppressed (counts 1-9),
Pennsylvania,2020,10,2020-03-07,"2,778","2,544",47,566,94,89,76,159,57,58,57,643,129,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,11,2020-03-14,"2,829","2,587",49,601,70,76,97,147,43,67,60,632,136,0,0,,,,,,,,,,,,,,,
Pennsylvania,2020,12,2020-03-21,"2,598","2,367",43,496,63,87,93,128,54,61,42,583,129,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Pennsylvania,2020,13,2020-03-28,"2,731","2,521",44,534,68,93,78,152,51,66,56,618,138,53,52,,,,,,,,,,,,,,,
Pennsylvania,2020,14,2020-04-04,"3,003","2,779",50,517,101,95,70,131,48,63,53,671,135,210,199,,,,,,,,,,,,,,,
Pennsylvania,2020,15,2020-04-11,"3,454","3,235",52,529,94,95,75,128,48,69,69,675,169,638,620,,,,,,,,,,,,,,,
Pennsylvania,2020,16,2020-04-18,"3,740","3,520",55,537,102,109,69,118,41,71,59,700,132,916,866,,,,,,,,,,,,,,,
Pennsylvania,2020,17,2020-04-25,"3,822","3,602",33,552,113,103,52,136,34,61,46,689,145,"1,075","1,005",,,,,,,,,,,,,,,
Pennsylvania,2020,18,2020-05-02,"3,561","3,317",30,540,87,99,47,127,37,59,38,584,138,945,902,,,,,,,,,,,,,,,
Pennsylvania,2020,19,2020-05-09,"3,438","3,197",41,523,66,89,33,101,41,57,47,679,134,847,797,,,,,,,,,,,,,,,
Pennsylvania,2020,20,2020-05-16,"3,283","3,047",45,531,85,91,32,88,37,59,43,646,117,713,666,,,,,,,,,,,,,,,
Pennsylvania,2020,21,2020-05-23,"2,974","2,712",43,524,74,69,38,100,32,51,41,584,130,511,475,,,,,,,,,,,,,,,
Pennsylvania,2020,22,2020-05-30,"2,790","2,544",25,514,81,74,34,106,30,48,33,553,123,358,327,,,,,,,,,,,,,,,
Pennsylvania,2020,23,2020-06-06,"2,724","2,442",42,494,80,73,22,105,41,46,59,561,114,274,248,,,,,,,,,,,,,,,
Pennsylvania,2020,24,2020-06-13,"2,571","2,321",41,530,65,59,31,101,31,50,42,583,129,206,174,,,,,,,,,,,,,,,
Pennsylvania,2020,25,2020-06-20,"2,620","2,376",37,552,76,61,29,102,37,44,61,583,114,182,149,,,,,,,,,,,,,,,
Pennsylvania,2020,26,2020-06-27,"2,560","2,298",48,517,64,79,31,85,34,42,43,564,124,145,124,,,,,,,,,,,,,,,
Pennsylvania,2020,27,2020-07-04,"2,594","2,332",45,535,73,84,34,99,36,51,49,577,110,139,109,,,,,,,,,,,,,,,
Pennsylvania,2020,28,2020-07-11,"2,675","2,416",53,540,70,88,22,104,40,49,57,568,131,126,104,,,,,,,,,,,,,,,
Pennsylvania,2020,29,2020-07-18,"2,557","2,293",34,483,81,82,24,105,39,45,56,573,119,109,92,,,,,,,,,,,,,,,
Pennsylvania,2020,30,2020-07-25,"2,531","2,259",50,494,74,92,19,101,28,63,52,557,120,95,86,,,,,,,,,,,,,,,
Pennsylvania,2020,31,2020-08-01,"2,642","2,364",46,552,88,67,31,101,28,55,63,584,109,103,91,,,,,,,,,,,,,,,
Pennsylvania,2020,32,2020-08-08,"2,539","2,303",44,518,57,80,36,105,35,45,54,561,134,137,119,,,,,,,,,,,,,,,
Pennsylvania,2020,33,2020-08-15,"2,659","2,397",45,579,81,94,19,101,41,59,51,586,100,124,107,,,,,,,,,,,,,,,
Pennsylvania,2020,34,2020-08-22,"2,635","2,413",58,541,75,87,28,97,48,51,52,576,126,98,90,,,,,,,,,,,,,,,
Pennsylvania,2020,35,2020-08-29,"2,585","2,339",45,544,76,81,35,108,35,37,55,551,132,103,91,,,,,,,,,,,,,,,
Pennsylvania,2020,36,2020-09-05,"2,602","2,327",40,541,76,88,25,110,38,53,37,566,111,86,65,,,,,,,,,,,,,,,
Pennsylvania,2020,37,2020-09-12,"2,615","2,350",32,559,76,75,25,97,39,45,50,576,123,99,82,,,,,,,,,,,,,,,
Pennsylvania,2020,38,2020-09-19,"2,613","2,369",52,514,80,71,25,98,43,42,48,626,96,93,76,,,,,,,,,,,,,,,
Pennsylvania,2020,39,2020-09-26,"2,676","2,416",47,562,84,74,22,99,34,55,26,606,134,94,74,,,,,,,,,,,,,,,
Pennsylvania,2020,40,2020-10-03,"2,677","2,412",47,513,80,85,35,94,39,53,48,611,120,125,109,,,,,,,,,,,,,,,
Pennsylvania,2020,41,2020-10-10,"2,763","2,495",35,565,71,86,32,109,43,52,37,598,146,148,128,,,,,,,,,,,,,,,
Pennsylvania,2020,42,2020-10-17,"2,666","2,427",59,476,78,93,29,103,42,66,55,577,131,153,128,,,,,,,,,,,,,,,
Pennsylvania,2020,43,2020-10-24,"2,762","2,531",57,491,80,95,46,104,36,56,43,612,147,174,143,,,,,,,,,,,,,,,
Pennsylvania,2020,44,2020-10-31,"2,755","2,517",39,525,63,86,29,97,36,51,43,648,143,195,176,,,,,,,,,,,,,,,
Pennsylvania,2020,45,2020-11-07,"2,979","2,742",41,532,80,93,46,122,31,48,70,637,126,316,272,,,,,,,,,,,,,,,
Pennsylvania,2020,46,2020-11-14,"3,118","2,868",48,538,75,114,44,116,37,58,57,646,153,430,380,,,,,,,,,,,,,,,
Pennsylvania,2020,47,2020-11-21,"3,347","3,129",40,532,79,96,46,115,52,70,45,649,158,643,581,,,,,,,,,,,,,,,
Pennsylvania,2020,48,2020-11-28,"3,650","3,415",34,523,93,106,43,118,52,62,56,691,145,889,818,,,,,,,,,,,,,,,
Pennsylvania,2020,49,2020-12-05,"3,883","3,632",40,484,92,108,37,106,49,71,60,686,138,"1,159","1,053",,,,,,,,,,,,,,,
Pennsylvania,2020,50,2020-12-12,"4,342","4,081",53,547,103,101,45,122,53,57,63,749,169,"1,439","1,306",,,,,,,,,,,,,,,
Pennsylvania,2020,51,2020-12-19,"4,434","4,190",44,515,115,117,47,146,37,56,60,829,148,"1,506","1,361",,,,,,,,,,,,,,,
Pennsylvania,2020,52,2020-12-26,"4,463","4,184",48,552,124,120,38,117,48,61,74,727,154,"1,577","1,424",,,,,,,,,,,,,,,
Pennsylvania,2020,53,2021-01-02,"4,388","4,148",50,573,114,99,52,112,49,62,70,723,154,"1,497","1,361",,,,,,,,,,,,,,,
Pennsylvania,2021,1,2021-01-09,"3,960","3,714",48,481,99,97,44,126,42,50,87,653,132,"1,271","1,164",,,,,,,,,,,,,,,
Pennsylvania,2021,2,2021-01-16,"3,848","3,656",51,571,107,97,53,116,46,63,102,666,146,"1,119","1,006",,,,,,,,,,,,,,,
Pennsylvania,2021,3,2021-01-23,"3,795","3,579",51,575,95,106,38,106,51,57,85,741,124,"1,035",910,,,,,,,,,,,,,,,
Pennsylvania,2021,4,2021-01-30,"3,521","3,314",48,538,85,108,34,115,37,67,109,659,160,867,765,,,,,,,,,,,,,,,
Pennsylvania,2021,5,2021-02-06,"3,303","3,115",45,522,95,96,34,100,48,51,120,641,131,663,578,,,,,,,,,,,,,,,
Pennsylvania,2021,6,2021-02-13,"3,141","2,980",59,505,79,81,39,103,44,61,145,647,139,527,444,,,,,,,,,,,,,,,
Pennsylvania,2021,7,2021-02-20,"3,016","2,851",51,540,87,83,41,102,45,49,138,615,128,426,366,,,,,,,,,,,,,,,
Pennsylvania,2021,8,2021-02-27,"2,752","2,597",52,509,62,70,28,92,39,54,152,573,124,319,261,,,,,,,,,,,,,,,
Pennsylvania,2021,9,2021-03-06,"2,394","2,298",47,436,55,67,16,91,35,66,150,541,101,218,173,,,,,,,,,,,,,,,
Pennsylvania,2021,10,2021-03-13,"2,058","1,990",35,429,52,71,20,89,44,51,143,415,97,167,132,,,,,,,,,,,,,,,
Pennsylvania,2021,11,2021-03-20,"2,002","1,947",33,415,46,67,24,77,39,40,159,423,91,158,127,,,,,,,,,,,,,,,
Rhode Island,2020,1,2020-01-04,225,205,,34,,17,,11,0,,,60,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,2,2020-01-11,201,183,,40,,,,,0,,,47,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,3,2020-01-18,204,190,,36,10,,,16,,,0,43,10,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Rhode Island,2020,4,2020-01-25,199,175,,28,10,,,,,,0,47,14,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Rhode Island,2020,5,2020-02-01,220,205,,45,11,12,,,,,0,53,,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Rhode Island,2020,6,2020-02-08,244,221,,49,12,12,,12,,,,56,13,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2020,7,2020-02-15,183,165,0,27,,13,,16,,,,37,,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,8,2020-02-22,206,193,0,48,,,,11,0,,,36,11,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2020,9,2020-02-29,235,218,,43,,,,,,,,67,13,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2020,10,2020-03-07,252,228,,52,,15,,12,0,0,0,62,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,
Rhode Island,2020,11,2020-03-14,196,180,,48,,,,17,,,,45,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,12,2020-03-21,220,206,,40,,14,,21,,,0,42,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Rhode Island,2020,13,2020-03-28,200,184,,34,,10,0,,,0,,49,12,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Rhode Island,2020,14,2020-04-04,236,221,,49,,,,14,,,0,50,,23,17,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Rhode Island,2020,15,2020-04-11,246,222,,35,,15,,,,,0,53,,51,41,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Rhode Island,2020,16,2020-04-18,273,259,,32,,19,,,,,,46,,94,78,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,17,2020-04-25,297,281,0,35,,10,,11,,0,,52,,104,95,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,18,2020-05-02,332,310,0,46,,14,,11,,,,44,,125,118,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,19,2020-05-09,381,361,,57,,18,,,,,,47,,137,122,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,20,2020-05-16,302,282,,45,,,,,,,0,55,,114,99,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Rhode Island,2020,21,2020-05-23,279,261,,35,,18,,,,,,35,,104,88,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,22,2020-05-30,254,234,,42,,16,0,,,,,44,,71,61,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,23,2020-06-06,241,227,,41,11,13,,,,,,52,,56,44,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,24,2020-06-13,209,192,,31,11,,0,,,,0,52,,27,23,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Rhode Island,2020,25,2020-06-20,236,217,,54,,,,,,0,,45,13,33,28,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Rhode Island,2020,26,2020-06-27,200,178,0,41,,,,11,0,,,36,,23,19,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,27,2020-07-04,177,164,,34,,,,,,,,37,,19,15,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,28,2020-07-11,190,169,,40,,,,,,,,40,,12,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9)
Rhode Island,2020,29,2020-07-18,190,157,,28,,,0,,,,0,43,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Rhode Island,2020,30,2020-07-25,173,153,,46,,,,10,,,0,31,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Rhode Island,2020,31,2020-08-01,200,179,,42,,,,,,,,47,12,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Rhode Island,2020,32,2020-08-08,209,186,,49,,11,0,,,,,42,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Rhode Island,2020,33,2020-08-15,211,190,0,40,,,,13,,,,42,12,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Rhode Island,2020,34,2020-08-22,198,175,,53,,13,,,,,0,36,,17,13,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Rhode Island,2020,35,2020-08-29,187,169,0,44,,,,10,,0,,46,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Rhode Island,2020,36,2020-09-05,207,175,,38,,10,,,,,,33,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Rhode Island,2020,37,2020-09-12,190,168,,39,,,,11,,,0,39,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Rhode Island,2020,38,2020-09-19,194,177,,41,,,,10,,,0,36,,15,12,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Rhode Island,2020,39,2020-09-26,208,187,,48,,,,11,,,0,48,,11,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9)
Rhode Island,2020,40,2020-10-03,218,199,0,46,,11,,,0,,,46,,10,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9)
Rhode Island,2020,41,2020-10-10,214,190,,42,,,,,,,,46,14,19,18,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2020,42,2020-10-17,212,195,,35,,,,,0,,,43,10,25,23,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2020,43,2020-10-24,196,178,,31,,,,,0,,0,38,10,20,18,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
Rhode Island,2020,44,2020-10-31,204,184,,43,,,0,,,,,39,,27,20,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,45,2020-11-07,228,208,,42,,11,,,0,0,,47,,28,22,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,46,2020-11-14,235,213,,40,,,,,,,,40,,38,32,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
